,Author_name,Article_title,Publish_date,description,Article_links
0,"<div id=""gsc_prf_in"">Chabila C. Mapoma</div>","We used the comparative risk assessment framework developed for previous iterations of the Global Burden of Disease Study to estimate attributable deaths, disability-adjusted life-years (DALYs), and trends in exposure by age group, sex, year, and geography for 79 behavioural, environmental and occupational, and metabolic risks or clusters of risks from 1990 to 2015. This study included 388 risk-outcome pairs that met World Cancer Research Fund-defined criteria for convincing or probable evidence. We extracted relative risk and exposure estimates …",2016,"The Global Burden of Diseases, Injuries, and Risk Factors Study 2015 provides an up-to-date synthesis of the evidence for risk factor exposure and the attributable burden of disease. By providing national and subnational assessments spanning the past 25 years, this study can inform debates on the importance of addressing risks in context. We used the comparative risk assessment framework developed for previous iterations of the Global Burden of Disease Study to estimate attributable deaths, disability-adjusted life-years (DALYs), and trends in exposure by age group, sex, year, and geography for 79 behavioural, environmental and occupational, and metabolic risks or clusters of risks from 1990 to 2015. This study included 388 risk-outcome pairs that met World Cancer Research Fund-defined criteria for convincing or probable evidence. We extracted relative risk and exposure estimates … ",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=4wnEDPMAAAAJ&citation_for_view=4wnEDPMAAAAJ:9yKSN-GCB0IC
1,"<div id=""gsc_prf_in"">Chabila C. Mapoma</div>","Estimates were calculated for disease and injury incidence, prevalence, and YLDs using GBD 2010 methods with some important refinements. Results for incidence of acute disorders and prevalence of chronic disorders are new additions to the analysis. Key improvements include expansion to the cause and sequelae list, updated systematic reviews, use of detailed injury codes, improvements to the Bayesian meta-regression method (DisMod-MR), and use of severity splits for various causes. An index of data …",2015,"Up-to-date evidence about levels and trends in disease and injury incidence, prevalence, and years lived with disability (YLDs) is an essential input into global, regional, and national health policies. In the Global Burden of Disease Study 2013 (GBD 2013), we estimated these quantities for acute and chronic diseases and injuries for 188 countries between 1990 and 2013. Estimates were calculated for disease and injury incidence, prevalence, and YLDs using GBD 2010 methods with some important refinements. Results for incidence of acute disorders and prevalence of chronic disorders are new additions to the analysis. Key improvements include expansion to the cause and sequelae list, updated systematic reviews, use of detailed injury codes, improvements to the Bayesian meta-regression method (DisMod-MR), and use of severity splits for various causes. An index of data … ",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=4wnEDPMAAAAJ&citation_for_view=4wnEDPMAAAAJ:mVmsd5A6BfQC
2,"<div id=""gsc_prf_in"">Chabila C. Mapoma</div>","Global, regional, and national age-sex specific all-cause and cause-specific mortality for 240 causes of death, 1990-2013: a systematic analysis for the Global Burden of …",2015,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=4wnEDPMAAAAJ&citation_for_view=4wnEDPMAAAAJ:ZeXyd9-uunAC
3,"<div id=""gsc_prf_in"">Chabila C. Mapoma</div>","We estimated all-cause mortality by age, sex, geography, and year using an improved analytical approach originally developed for GBD 2013 and GBD 2010. Improvements included refinements to the estimation of child and adult mortality and corresponding uncertainty, parameter selection for under-5 mortality synthesis by spatiotemporal Gaussian process regression, and sibling history data processing. We also expanded …",2016,"Improving survival and extending the longevity of life for all populations requires timely, robust evidence on local mortality levels and trends. The Global Burden of Disease 2015 Study (GBD 2015) provides a comprehensive assessment of all-cause and cause-specific mortality for 249 causes in 195 countries and territories from 1980 to 2015. These results informed an in-depth investigation of observed and expected mortality patterns based on sociodemographic measures. We estimated all-cause mortality by age, sex, geography, and year using an improved analytical approach originally developed for GBD 2013 and GBD 2010. Improvements included refinements to the estimation of child and adult mortality and corresponding uncertainty, parameter selection for under-5 mortality synthesis by spatiotemporal Gaussian process regression, and sibling history data processing. We also expanded … ",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=4wnEDPMAAAAJ&citation_for_view=4wnEDPMAAAAJ:Tyk-4Ss8FVUC
4,"<div id=""gsc_prf_in"">Chabila C. Mapoma</div>",We used robust statistical methods including the Cause of Death Ensemble model (CODEm) to analyse a database of data for 7065 site-years and estimate the number of maternal deaths from all causes in 188 countries between 1990 and 2013. We estimated the number of pregnancy-related deaths caused by HIV on the basis of a systematic review of the relative risk of dying during pregnancy for HIV-positive women compared with HIV-negative women. We also estimated the fraction of these deaths aggravated by pregnancy …,2014,"The fifth Millennium Development Goal (MDG 5) established the goal of a 75% reduction in the maternal mortality ratio (MMR; number of maternal deaths per 100 000 livebirths) between 1990 and 2015. We aimed to measure levels and track trends in maternal mortality, the key causes contributing to maternal death, and timing of maternal death with respect to delivery. We used robust statistical methods including the Cause of Death Ensemble model (CODEm) to analyse a database of data for 7065 site-years and estimate the number of maternal deaths from all causes in 188 countries between 1990 and 2013. We estimated the number of pregnancy-related deaths caused by HIV on the basis of a systematic review of the relative risk of dying during pregnancy for HIV-positive women compared with HIV-negative women. We also estimated the fraction of these deaths aggravated by pregnancy … ",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=4wnEDPMAAAAJ&citation_for_view=4wnEDPMAAAAJ:dhFuZR0502QC
5,"<div id=""gsc_prf_in"">Chabila C. Mapoma</div>","To estimate incidence and mortality for HIV, we used the UNAIDS Spectrum model appropriately modified based on a systematic review of available studies of mortality with and without antiretroviral therapy (ART). For concentrated epidemics, we calibrated Spectrum models to fit vital registration data corrected for misclassification of HIV deaths. In generalised epidemics, we minimised a loss function to select epidemic curves most consistent with prevalence data and …",2014,"The Millennium Declaration in 2000 brought special global attention to HIV, tuberculosis, and malaria through the formulation of Millennium Development Goal (MDG) 6. The Global Burden of Disease 2013 study provides a consistent and comprehensive approach to disease estimation for between 1990 and 2013, and an opportunity to assess whether accelerated progress has occured since the Millennium Declaration. To estimate incidence and mortality for HIV, we used the UNAIDS Spectrum model appropriately modified based on a systematic review of available studies of mortality with and without antiretroviral therapy (ART). For concentrated epidemics, we calibrated Spectrum models to fit vital registration data corrected for misclassification of HIV deaths. In generalised epidemics, we minimised a loss function to select epidemic curves most consistent with prevalence data and … ",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=4wnEDPMAAAAJ&citation_for_view=4wnEDPMAAAAJ:QIV2ME_5wuYC
6,"<div id=""gsc_prf_in"">Chabila C. Mapoma</div>","We estimated prevalence and incidence for 328 diseases and injuries and 2982 sequelae, their non-fatal consequences. We used DisMod-MR 2.1, a Bayesian meta-regression tool, as the main method of estimation, ensuring consistency between incidence, prevalence, remission, and cause of death rates for each condition. For some causes, we used alternative modelling strategies if incidence or prevalence needed to be derived from other data. YLDs were …",2017,"As mortality rates decline, life expectancy increases, and populations age, non-fatal outcomes of diseases and injuries are becoming a larger component of the global burden of disease. The Global Burden of Diseases, Injuries, and Risk Factors Study 2016 (GBD 2016) provides a comprehensive assessment of prevalence, incidence, and years lived with disability (YLDs) for 328 causes in 195 countries and territories from 1990 to 2016. We estimated prevalence and incidence for 328 diseases and injuries and 2982 sequelae, their non-fatal consequences. We used DisMod-MR 2.1, a Bayesian meta-regression tool, as the main method of estimation, ensuring consistency between incidence, prevalence, remission, and cause of death rates for each condition. For some causes, we used alternative modelling strategies if incidence or prevalence needed to be derived from other data. YLDs were … ",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=4wnEDPMAAAAJ&citation_for_view=4wnEDPMAAAAJ:UebtZRa9Y70C
7,"<div id=""gsc_prf_in"">Chabila C. Mapoma</div>","We estimated cause-specific deaths and years of life lost (YLLs) by age, sex, geography, and year. YLLs were calculated from the sum of each death multiplied by the standard life expectancy at each age. We used the GBD cause of death database composed of: vital registration (VR) data corrected for under-registration and garbage coding; national and subnational verbal autopsy (VA) studies corrected for garbage coding …",2017,"Monitoring levels and trends in premature mortality is crucial to understanding how societies can address prominent sources of early death. The Global Burden of Disease 2016 Study (GBD 2016) provides a comprehensive assessment of cause-specific mortality for 264 causes in 195 locations from 1980 to 2016. This assessment includes evaluation of the expected epidemiological transition with changes in development and where local patterns deviate from these trends. We estimated cause-specific deaths and years of life lost (YLLs) by age, sex, geography, and year. YLLs were calculated from the sum of each death multiplied by the standard life expectancy at each age. We used the GBD cause of death database composed of: vital registration (VR) data corrected for under-registration and garbage coding; national and subnational verbal autopsy (VA) studies corrected for garbage coding … ",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=4wnEDPMAAAAJ&citation_for_view=4wnEDPMAAAAJ:IjCSPb-OGe4C
8,"<div id=""gsc_prf_in"">Chabila C. Mapoma</div>","For countries without high-quality vital registration data, we estimated prevalence and incidence with data from antenatal care clinics and population-based seroprevalence surveys, and with assumptions by age and sex on initial CD4 distribution at infection, CD4 progression rates (probability of progression from higher to lower CD4 cell-count category), on and off antiretroviral therapy (ART) mortality, and mortality from all other causes. Our estimation strategy links the GBD 2015 assessment of all-cause mortality and estimation of …",2016,"Timely assessment of the burden of HIV/AIDS is essential for policy setting and programme evaluation. In this report from the Global Burden of Disease Study 2015 (GBD 2015), we provide national estimates of levels and trends of HIV/AIDS incidence, prevalence, coverage of antiretroviral therapy (ART), and mortality for 195 countries and territories from 1980 to 2015. For countries without high-quality vital registration data, we estimated prevalence and incidence with data from antenatal care clinics and population-based seroprevalence surveys, and with assumptions by age and sex on initial CD4 distribution at infection, CD4 progression rates (probability of progression from higher to lower CD4 cell-count category), on and off antiretroviral therapy (ART) mortality, and mortality from all other causes. Our estimation strategy links the GBD 2015 assessment of all-cause mortality and estimation of … ",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=4wnEDPMAAAAJ&citation_for_view=4wnEDPMAAAAJ:u-x6o8ySG0sC
9,"<div id=""gsc_prf_in"">Chabila C. Mapoma</div>","We used results from the Global Burden of Diseases, Injuries, and Risk Factors Study 2016 for all-cause mortality, cause-specific mortality, and non-fatal disease burden to derive HALE and DALYs by sex for 195 countries and …",2017,"Measurement of changes in health across locations is useful to compare and contrast changing epidemiological patterns against health system performance and identify specific needs for resource allocation in research, policy development, and programme decision making. Using the Global Burden of Diseases, Injuries, and Risk Factors Study 2016, we drew from two widely used summary measures to monitor such changes in population health: disability-adjusted life-years (DALYs) and healthy life expectancy (HALE). We used these measures to track trends and benchmark progress compared with expected trends on the basis of the Socio-demographic Index (SDI). We used results from the Global Burden of Diseases, Injuries, and Risk Factors Study 2016 for all-cause mortality, cause-specific mortality, and non-fatal disease burden to derive HALE and DALYs by sex for 195 countries and … ",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=4wnEDPMAAAAJ&citation_for_view=4wnEDPMAAAAJ:YsMSGLbcyi4C
